ENDF-6 File: /g/g19/walsh23/data/evaluations/endf-7.1/neutrons/n-092_U_236.endf
Resonance Formalism: SLBW
Contributing s-wave Resonances:          64
Contributing p-wave Resonances:          64
Contributing d-wave Resonances:          64
Contributing f-wave Resonances:          64
Model Competitive Reaction Resonance Structure: T
Parameter Energy Dependence: Neutron
Faddeeva Evaluation: QUICKW
Target Relative Tolerance on Average Partial Cross Sections:  5.0000000000000001E-03
Energies:          64
             Energy [eV]               Total [b]             Elastic [b]             Capture [b]             Fission [b]         Competitive [b]
  1.1082027689056675E+04  1.5804837791882756E+01  1.4963293638286292E+01  8.2896120918262206E-01  1.2582944413841094E-02  0.0000000000000000E+00
  1.1845957313155308E+04  1.5700346654305363E+01  1.4883328770002979E+01  8.0494355323322786E-01  1.2074331069125409E-02  0.0000000000000000E+00
  1.2662547739676576E+04  1.5605386734510288E+01  1.4807801937407914E+01  7.8565442681246656E-01  1.1930370289926079E-02  0.0000000000000000E+00
  1.3535429093731891E+04  1.5481116616364332E+01  1.4706886424612428E+01  7.6280643822970795E-01  1.1423753522198753E-02  0.0000000000000000E+00
  1.4468481739846377E+04  1.5317594592458198E+01  1.4565410514408294E+01  7.4104033530406288E-01  1.1143742745808975E-02  0.0000000000000000E+00
  1.5465853531988123E+04  1.5276456374986065E+01  1.4544418731306243E+01  7.2124953954970483E-01  1.0788104130119850E-02  0.0000000000000000E+00
  1.6531978252712579E+04  1.5148388681785232E+01  1.4435041146770050E+01  7.0279063281339360E-01  1.0556902201781163E-02  0.0000000000000000E+00
  1.7671595323392958E+04  1.5066813061132352E+01  1.4377348437161633E+01  6.7919826376382708E-01  1.0266360206873146E-02  0.0000000000000000E+00
  1.8889770873157529E+04  1.4964820267719301E+01  1.4292726090395140E+01  6.6214341236952368E-01  9.9507649546415992E-03  0.0000000000000000E+00
  2.0191920260195300E+04  1.4832756131685768E+01  1.4185287753408110E+01  6.3791090169320808E-01  9.5574765844502942E-03  0.0000000000000000E+00
  2.1583832145547542E+04  1.4744089361793279E+01  1.4111314320452401E+01  6.2336956706037250E-01  9.4054742804987879E-03  0.0000000000000000E+00
  2.3071694226404681E+04  1.4666096498329157E+01  1.4053114154086693E+01  6.0392434311939069E-01  9.0580011230923380E-03  0.0000000000000000E+00
  2.4662120743304702E+04  1.4564075627209533E+01  1.3971085756720036E+01  5.8427765944185994E-01  8.7122110476457338E-03  0.0000000000000000E+00
  2.6362181883515746E+04  1.4496639160381083E+01  1.3923599823564789E+01  5.6457368440727174E-01  8.4656524090310440E-03  0.0000000000000000E+00
  2.8179435211314307E+04  1.4423643077173869E+01  1.3867536886662769E+01  5.4793604768066873E-01  8.1701428304405375E-03  0.0000000000000000E+00
  3.0121959264881611E+04  1.4360177589181783E+01  1.3823357829582617E+01  5.2895642572396173E-01  7.8633338752230903E-03  0.0000000000000000E+00
  3.2198389469171612E+04  1.4246687762621329E+01  1.3727907686390303E+01  5.1120655232845713E-01  7.5735239025734877E-03  0.0000000000000000E+00
  3.4417956524400623E+04  1.4179343045521836E+01  1.3677330483436252E+01  4.9466230851212295E-01  7.3502535734515815E-03  0.0000000000000000E+00
  3.6790527440812664E+04  1.4085861811054361E+01  1.3602304199221130E+01  4.7643808029958712E-01  7.1195315336486879E-03  0.0000000000000000E+00
  3.9326649402139665E+04  1.4064782845602680E+01  1.3593978187940850E+01  4.6387123473552011E-01  6.9334229263131597E-03  0.0000000000000000E+00
  4.2037596652749977E+04  1.3959765862561985E+01  1.3506153544076053E+01  4.4692072113265757E-01  6.6915973532856582E-03  0.0000000000000000E+00
  4.4935420616920128E+04  1.3924866436534607E+01  1.3483007021501040E+01  4.3533647074347487E-01  6.5229442900943220E-03  0.0000000000000000E+00
